,comments
812,嗯。信号这么差的地方有村子？
813,广权？
814,莫非要防不胜防？
815,我就服了，你为啥不在村里打
816,玉宝hhhhhh我老舅叫王玉宝hhhhh
817,吹风机
818,6666666
819,硬核
820,大年初一不收礼，全家进城看佩奇
821,？？？？不回来了？怎么这样？
822,卧槽？？
823,这个方言和我们一样
824,艺术源于生活又高于生活，你在这里gone，你扯犊子呢？
825,要是我爷爷能让我见一面就好了
826,这爷爷真可爱
827,为什么不把老人接到城市去？
828,bgm激光雨
829,是86！86上山了！
830,朋克佩奇
831,猝不及防
832,没听出是张家口方言
833,你咋骂人啊
834,鲁F，烟台的
835,承德认老乡
836,佩奇？要不得要不得不要
837,先吃饭~
838,字幕翻译辛苦啦！
839,这难道是广告？？？
840,我就是张家口人
841,啥是佩琪？
842,不容易啊
843,盘他
844,傲娇2333333
845,厉害厉害
846,泪目
847,想我爷爷.......一年才见得一次，老人家还活着怎么舍得不回家
848,泪目
849,天秀
850,禽兽儿女
851,真香
852,夜敲寡妇门
853,这天天....我想歪了……
854,帅啊
855,注意这里是信号不好
856,不是信号不好，手机不行
857,他就是要吃
858,她就是要吃猪肉
859,23333
860,就是只猪
861,老人特有傲娇
862,阿珂
863,绝地科学家——八倍不屏息啊——
864,康普里特
865,电视上佩奇真的不多
866,What?Don't come back
867,天天RPG
868,战歌起!
869,66666
870,哇，真的感动
871,哭了，想到我爷爷了
872,BGM:   Gangsta Symphony
873,不是信号差，是手机差
874,赛博佩奇
875,前方高能
876,就是社会人
877,耿哥的老年生活
878,吹风机的爷爷是个嗷卵犟
879,嘴上有红色的油漆，刷猪的时候弄得
880,给孩子玩的模型机（玩具）
881,买就买
882,吹风机猪吹风机猪红色的吹风机猪变异的有粉色和至尊蓝
883,这怪谁呢，贫富差距这么大，富的富死，穷的像上世纪
884,这孙子坑也啊
885,小狗丹尼
886,底层社会，年轻人是社畜，老人留家里等死，无奈
887,移动广告？
888,前方高能预警
889,爷爷真的好
890,超帅哒！！NB
891,"我爷爷用华为mate20,比我的都牛逼"
892,我爷爷八十多岁了，还记得儿孙电话号码，自己拨，就是眼神不够好
893,问我爷爷呀肯定也不知道
894,蒸汽朋克佩奇
895,w t f 你认真的吗
896,啥是小羊苏茜
897,孙传芳
898,火钳刘明
899,小孩好可爱啊
900,Are you kid me?
901,都是这样的
902,感动
903,pig？
904,what pig？
905,piggy red one
906,盘它海星
907,社会人
908,我也想问啊 没得问了.
909,工艺品了
910,我们终究是错过
911,底端英文翻译好评
912,底端字幕翻译辛苦了
913,盘他
914,这老爷爷不是专业演员，但是却比所谓的演员好的不止一个档次
915,移动实力硬广
916,一窝猪233333
917,又见面了
918,像沧州话，但是沧州没有山啊！
919,爷爷好可爱啊
920,注入灵魂
921,厉害厉害
922,66666666
923,爷爷厉害了
924,想我爷爷了
925,tm放了寒假就去外公家 
926,张家口人走一波
927,好真实啊wc
928,真香定律果然逃不掉
929,恭喜你，伤痛了基友的心
930,打脸啪啪啪啪啪啪
931,脸上发亮了咯
932,背景音乐都一起硬核了
933,那是老三媳妇。不是他老伴
934,注入灵魂
935,我这个寒假一定要回去看爷爷qwq
936,一长两短
937,666666
938,真香
939,就是粉红色的口哨儿
940,说不回去就觉得过分的那些弹幕，何不食肉糜？！
941,社会社会
942,蒸汽朋克风佩奇
943,有眼睛的粉色口哨
944,一本正经瞎说八道
945,手工耿是看了这个才做的，别瞎逼逼了
946,移动卡的要死
947,Hello?
948,Da Wei.
949,哈哈哈哈哈哈哈哈啊哈
950,弄个英文字幕给中国人看？
951,开门!查水表!
952,不是魅族15，15正面上面的摄像头在中间，这个明显在侧面
953,小猪佩奇是peppa pig吧
954,哈哈哈哈哈哈哈哈哈
955,一窝猪哈哈
956,猪
957,粉色的猪
958,吹风机
959,6666666
960,前方高能
961,吹风机
962,哈哈哈嗝
963,一汽？夏利？
964,哈哈哈
965,这么皮
966,这就是移动网
967,移动网也会自黑了
968,你们不要剧透啊，举报了
969,啊哈哈  设会设会
970,很感人
971,如果不是无意间看 我还依旧唾弃这影片名字因为我不喜欢
972,真实   突然懂了老年人的做法
973,唉╯﹏╰ 讨厌现在信息化小视频网红
974,额。。。
975,前方唢呐高能
976,住手！！这不是佩奇
977,硬核佩奇
978,哈哈哈哈哈哈我要笑死了
979,broadcast voice ： learn how to facetime for free
980,my grandchild only three years old 
981,Maybe your grandchild is her fan
982,大家好，这是沙城方言，张家口市怀来县，就家乡的方言
983,parden me
984,Don’t save money go buy a new phone
985,字母菌66666
986,孙子在美国的那个  唔吔看过 感动
987,Sam’s wife has been to Beijing 
988,Pig!
989,我们班主任叫王保
990,吹风机啊
991,It’s a cartoon character 
992,心疼
993,23333333333
994,弹幕是不是有病？乱刷nma呢？
995,需要一个小玩♂具
996,BGM超神（佩琪红）
997,6666666
998,心疼
999,心疼
1000,standing by
